Offset,Data,Field,Data Type,Bytes
0,Header,header type,uint32,4
4,,file length,uint32,4
8,,stitch count,uint16,2
10,,hoop type,uint16,2
12,,form count,uint16,2
14,,vertex length,uint16,2
16,,vertex count,uint16,2
18,,D-line length,uint16,2
20,,D-Line count,uint16,2
22,,clip data length,uint16,2
24,,clip data count,uint16,2
26,Stitch data,,F_POINT_ATTR[stitchcount],12 * stitchcount
,bitmap name,,char[16],16
,background color,,COLORREF,4
,user colors,,COLORREF[16],64
,custom colors,,COLORREF[16],64
,thread sizes,,char[16],16
,forms,,FRM_HEAD_O[form count],68 * form count
,form vertices,,F_POINT[vertex count],8 * vertex count
,D-lines,,SAT_CON_OUT[D-Line count],4 * D-line count
,clip points,,F_POINT[clip data count,8 * clip data count
,texture points,,TX_PNT[texture point count],6 * texture point count
